tranche,id,smiles
H23P280,ZINCny00000oKj8j,Cc1ccc([C@@H]2C[C@H](C)N(C(=O)NCCC3CN(C)C3)C2)cc1
H23P280,ZINCny00000oKj8h,Cc1ccc([C@@H]2C[C@H](C)N(C(=O)[C@@H]3C[C@@]34C[C@@H]4C(=O)O)C2)cc1
H23P190,ZINCnp00001A3tZK,COC/C=C/C(=O)NCC1(CN(C)c2nc(C3CC3)ns2)CC1
H23P110,ZINCnh00001A3tZE,COCC=CC(=O)NCC1(CC(=O)N(C)Cc2cnco2)CC1
H25P180,ZINCpo00001BNXLN,CCOC(=O)C[C@H](C)C(=O)NC[C@H]1C[C@@H]1N=c1ccnc(C2CC2)[nH]1
H21P200,ZINClq00000nlIZI,C#Cc1cnccc1C(=O)NC[C@@H](C)N1CCCCCC1
H25P330,ZINCpD00000t8E6X,CCC[C@@H](CC)CCC(=O)N1CC(CO)(NC(=O)c2csc(Cl)c2)C1
H25P200,ZINCpq00000me1Vr,COC[C@H](NC(=O)[C@@]1(NC(=O)c2ccc(C#N)s2)C[C@H]1C)C1(C)CC1
H25P110,ZINCph00000E2tjL,CC[C@@H]1C[C@H]1C(=O)N1[C@H]2CC[C@@H]1C[C@@]1(NC(=O)[C@H](C)NC(C)=O)C[C@@H]21
H25P110,ZINCph00000E2sJz,CC[C@@H]1C[C@H]1C(=O)N1C[C@@H](NC(=O)C(C)(C)CS(C)(=O)=O)[C@H](SC)C1
H23P190,ZINCnp00001A3tZJ,COCCCC(=O)NCC1(CN=c2[nH]cc(C#N)cc2C)CC1
H21M000,ZINCl500000hZ5RY,C[C@@](O)(C(F)F)[C@H](NC(=O)Cc1ccc(O)nc1)C(=O)O
H24P250,ZINCov000006ldYb,CC[C@H](CNC(=O)CCOc1ccc(Br)cc1)NC(=O)[C@@H]1C[C@@H]1F
H24M000,ZINCo500000HMp18,CNC(=O)N[C@@H](C)C(=O)N(C)CCC(=O)NOCC1CCOCC1
H25P140,ZINCpk00001BNXLS,CCOC(=O)C[C@@H](C)C(=O)NC[C@H]1C[C@H]1NS(=O)(=O)CCCC(C)C
H21P270,ZINClx00000nlIZJ,CCc1cnccc1C(=O)NC[C@H](N)c1ccc(Cl)cc1
H25P230,ZINCpt000004G9kq,CCC(=O)N1CCN(C(=O)c2c3ccc(Br)cc3nn2C)C[C@H]1CF
H25P200,ZINCpq00000me1Vq,COC[C@H](NC(=O)[C@@]1(NC(=O)c2cccc(F)c2F)C[C@H]1C)C1CC1
H22P390,ZINCmJ00000hfTwd,Cc1ccc(O)c(CN(Cc2nc(Cl)cs2)C[C@@H]2C[C@H]2Br)n1
H25P150,ZINCpl00001BNXLO,CCOC(=O)C[C@H](C)C(=O)NC[C@H]1C[C@H]1Nc1ncc(C#N)cc1F
H24P150,ZINCol00000K79Bh,CC[C@H]1CN(C(=O)[C@@H]2CCC[C@H]2O)C[C@@H]1C(=O)N1CCC[C@@H]1CF
H23P250,ZINCnv00000oKj8k,Cc1ccc([C@H]2C[C@H](NC(=O)[C@@]34CCO[C@H]3CCOC4)C2)cc1
H22P150,ZINCml00000x3XeY,CCO[C@@H](CC)C(=O)N[C@H](CC(=O)N(C)C1CSC1)C(F)F
H25P230,ZINCpt000004G9iV,CCC(=O)N1CCN(C(=O)c2c(CC)cc(OC)cc2OC)C[C@H]1C
H24P180,ZINCoo00000t5YX2,Cc1[nH]nc(CNC(=O)C[C@H](NC(=O)C2CCC2)C(F)(F)F)c1C
H21P210,ZINClr00000nlIZH,C#Cc1cnccc1C(=O)NC[C@@H](C(CC)CC)N(C)C
H25P110,ZINCph00000E2tkn,CC[C@@H]1C[C@H]1C(=O)N1[C@H]2CC[C@@H]1C[C@H]2NC(=O)C1(C(=O)NC)CCC1
H25P200,ZINCpq00000me1Vp,COC[C@@H](NC(=O)C1(NC(=O)c2ccc(C)c(C)c2)CSC1)C1CC1
H25P110,ZINCph00000E2sDE,CC[C@@H]1C[C@H]1C(=O)N1CC[C@H]2[C@H](CCN2C(=O)CN2CCCC2=O)C1
H25P150,ZINCpl00001BNXLP,CCOC(=O)C[C@H](C)C(=O)NC[C@H]1C[C@@H]1NC(=O)c1sncc1CC
H25P110,ZINCph00000E2tap,CC[C@@H]1C[C@H]1C(=O)N1C[C@H]2CCO[C@@]2(CNC(=O)C(C)(C)N(C)C)C1
H24P140,ZINCok00000K79Bg,C#C[C@@H]1CN(C(=O)[C@@H]2CCC[C@H]2OC)CCN1C(=O)C1=C[C@@H](C)C1
H22P170,ZINCmn00000x3XeW,CCO[C@H](CC)C(=O)N[C@H](C)C(=O)NCc1ccc(CC)o1
H24P350,ZINCoF00000lwAUp,C=C[C@@H](CC)CC(=O)N(Cc1cn(C)cn1)C[C@@H]1C[C@H]2C=C[C@H]1C2
H24P100,ZINCog00000HSgyh,CN=c1[nH]c(=NCc2cn[nH]c2)[nH]c(=N[C@@H](C)[C@@H]2CCN(C)C2)[nH]1
H24P150,ZINCol00000K79Bi,CC[C@H]1CN(C(=O)[C@@H]2CCC[C@H]2O)C[C@@H]1C(=O)N1CCSC[C@H]1C
H24P140,ZINCok00000K79Bj,C=C[C@H]1CN(C(=O)[C@@H]2CCC[C@H]2O)C[C@H]1NC(=O)C=C(C)C(F)F
H21M000,ZINCl500000hZ5SV,C[C@@](O)(CC(=O)NC1CN(C(=O)[C@H](O)CF)C1)C(F)(F)F
H22P160,ZINCmm00000x3XeX,CCO[C@H](CC)C(=O)N[C@@H](C)C(=O)NCc1cccnc1Cl
H21M000,ZINCl500000hZ5Vu,C[C@@](O)(CNC(=N)NCCNS(C)(=O)=O)c1ccccc1
H25P150,ZINCpl00001BNXLT,CCOC(=O)C[C@H](C)C(=O)NC[C@H]1C[C@H](C)N(C(=O)c2ccc[nH]2)C1
H22P250,ZINCmv000005Xx56,CCOCCn1nc(-c2cccn3ccnc23)nc1C(F)F
H23P210,ZINCnr00000oKj8i,Cc1ccc([C@@H]2C[C@H](C)N(C(=O)[C@H]3CC[C@@H](O)[C@H](N)C3)C2)cc1
H25P110,ZINCph00000E2toS,CC[C@@H]1C[C@H]1C(=O)NC1(C)CC(NC(=O)c2cnc3[nH]nnc3c2)C1
H24P250,ZINCov000006ldW1,CC[C@H](CNC(=O)CCF)NC(=O)Cc1noc2ccc(Br)cc12
H23P130,ZINCnj00001A3tZF,COCC#CC(=O)N(Cc1ccsn1)C[C@@H]1COCC(C)(C)O1
H21M000,ZINCl500000hZ5Y3,C[C@@](O)(CNC(=O)CN1CCC(N)CC1)C1CCNCC1
H25P220,ZINCps00000me1Vs,COC[C@H](NC(=O)C1(NC(=O)c2cc(Cl)ns2)CC(F)(F)C1)C1CC1
H25P270,ZINCpx00000d79yA,Cc1cc(=O)n(C)nc1C(=O)N(C)Cc1oc2c(C)cccc2c1C
H24P040,ZINCoa00000HSgyg,CN=c1[nH]c(=NCc2cnn(CCF)c2)[nH]c(=NC[C@@H](F)CO)[nH]1
H25P310,ZINCpB00000t8E6V,CCC[C@H](CC)CCC(=O)N1CC[C@@](O)(CNC(=O)CCC(C)C)C1
H24P010,ZINCo700000HMp16,CNC(=O)N[C@@H](C)C(=O)NCCCC(=O)N[C@@H](CO)CCC(C)C
H24M100,ZINCo400000HMp15,CNC(=O)N[C@@H](C)C(=O)N(C)CCC(=O)N[C@H](C)Cn1cnnc1
H24M000,ZINCo500000HMp17,CNC(=O)N[C@H](C)C(=O)NC[C@](C)(CO)NC(=O)c1csc(F)c1
H25P120,ZINCpi00001BNXLU,CCOC(=O)C[C@H](C)C(=O)NC[C@H]1C[C@@H](CNC(=O)CC(C)C)CO1
H24P230,ZINCot00000sZC5k,CC(=O)N1CC(C(=O)N(CC=C(C)C)Cc2nccc(C)c2F)C1
H24P230,ZINCot00000sZC5l,CC(=O)N1CC(C(=O)N(CCC(C)C)Cc2ncc(C)cc2F)C1
H25P290,ZINCpz00000t8E6W,CCC[C@H](CC)CCC(=O)N1CC[C@@](O)(CNC(=O)C(F)=C(C)C)C1
H23P180,ZINCno00001A3tZG,COC(C)(C)C(=O)N(CC1[C@@H]2CCC[C@@H]12)C[C@@]1(CO)CCCO1
H24P160,ZINCom00000t5YX0,Cc1[nH]nc(CNC(=O)C[C@@H](C)NC(=O)C2=C[C@H]3C=C[C@H]2C3)c1C
H25P230,ZINCpt000004G9l5,CCC(=O)N1CCN(C(=O)c2c[nH]c3ccccc3c2=NC)C[C@@H]1C
H25P270,ZINCpx00000d79wd,Cc1cc(=O)c(C(=O)N[C@@H](C(F)F)C2CCC2)nn1-c1ccccc1
H22P250,ZINCmv000005Xx62,CCOCCn1nc(-c2ccco2)nc1[C@H]1CCCC[C@H]1O
H25P110,ZINCph00000E2tx8,CC[C@@H]1C[C@H]1C(=O)NC12CCOC(CNC(=O)C3CC(C)(O)C3)(C1)C2
H25P270,ZINCpx00000d79FX,Cc1cc(Br)c(C(=O)N2CCN(C(=O)c3ccc(C#N)[nH]3)[C@@H]3C[C@H]32)s1
H23P150,ZINCnl00001A3tZN,COCC#CC(=O)N(Cc1cncc(F)c1)CC1(O)CCCC1
H22P250,ZINCmv000005Xx8w,CCOCCn1nc(-c2cncnc2)nc1CCCC1CC1
H25P390,ZINCpJ00000FLUZU,COCc1ccc(CN(Cc2c(Br)nnn2C)C[C@@H]2CC23CCC3)s1
H25P180,ZINCpo00001BNXLQ,CCOC(=O)C[C@@H](C)C(=O)NC[C@H]1C[C@H]1NC(=O)Cc1cc(C)cs1
H25P110,ZINCph00000E2sCQ,CC[C@@H]1C[C@H]1C(=O)N1CC[C@H]2[C@@H](C1)CN2C(=O)c1ccc(=O)n(C)c1
H25P230,ZINCpt000004G9fM,CCC(=O)N1CCN(C(=O)[C@H]2OCC2(C)C)C[C@@H]1c1cccc(F)c1
H23P270,ZINCnx00000oKj8l,Cc1ccc([C@H]2C[C@H](NC(=O)C3(N=[N+]=[N-])CCNCC3)C2)cc1
H25P320,ZINCpC00000t8E6U,CCC[C@@H](CC)CCC(=O)N1CCCO[C@@H](CNC(=O)C2(Br)CC2)C1
H23P190,ZINCnp00001A3tZO,COCC#CC(=O)N(Cc1cnc([C@@H](C)O)s1)C[C@@H]1CCSC1
H25P110,ZINCph00000E2tyw,CC[C@@H]1C[C@H]1C(=O)NC1CC(CCNC(=O)[C@@H](NC(N)=O)C(C)C)C1
H23P190,ZINCnp00001A3tZM,COC(C)(C)C(=O)N(Cc1cnc(C)cn1)C[C@H](O)CC(C)C
H23P170,ZINCnn00001A3tZL,COCCCC(=O)N(Cc1cnc(C)c(C)c1)Cc1cnn[nH]1
H23P160,ZINCnm00001A3tZD,COCC#CC(=O)N(CC1CCOCC1)C[C@H](CCSC)OC
H22P130,ZINCmj00000x3XeU,CCO[C@H](CC)C(=O)N[C@@H](C)C(=O)Nc1ccc(C)nc1O
H24P250,ZINCov000006ldWe,CC[C@H](CNC(=O)CCF)NC(=O)[C@H](C)Cc1ccc(F)cc1F
H25P230,ZINCpt000004G9kk,CCC(=O)N1CCN(C(=O)c2c(OC)ncc(Cl)c2C)C[C@H]1C(F)F
H24P170,ZINCon00000t5YX1,Cc1[nH]nc(CNC(=O)C[C@@H](C)NC(=O)[C@H](C#N)C(C)(C)C)c1C
H25P110,ZINCph00000E2taT,CC[C@@H]1C[C@H]1C(=O)N1C[C@H]2CC[C@@H]1[C@@H]2NC(=O)c1cc(Cl)nnc1O
H24P250,ZINCov000006ldZP,CC[C@H](CNC(=O)CC[C@@H](C)OC)NC(=O)C1=CCC(F)(F)CC1
H25P170,ZINCpn00001BNXLR,CCOC(=O)C[C@@H](C)C(=O)NC[C@H]1C[C@H]1NC(=O)[C@@H]1CCCC[C@@H]1F
H23P170,ZINCnn00001A3tZH,COCCCC(=O)N(Cc1cnc2n1CCC2)C[C@@H]1CCCO1
H25P150,ZINCpl00001BNXLM,CCOC(=O)C[C@H](C)C(=O)NC[C@H]1C[C@@H]1C(=O)N1CCC(CF)CC1
H25P200,ZINCpq00000me1Vt,COC[C@@H](NC(=O)C1(NC(=O)c2cc(C#N)cs2)CC(F)C1)C(C)C
H22P050,ZINCmb00000x3XeV,CCO[C@H](CC)C(=O)N[C@@H](C)C(=O)NC1(CO)CC(F)(F)C1
H25P270,ZINCpx00000d79zQ,Cc1cc(=O)n(C)nc1C(=O)Nc1ccc(N2CCCCCC2)cc1
H25P110,ZINCph00000E2t9c,CC[C@@H]1C[C@H]1C(=O)N1C[C@H](OC)C[C@H]1CNC(=O)c1c[nH]ccc1=O
H25P270,ZINCpx00000d79Gc,Cc1cc(Br)c(C(=O)NC2CN(C(=O)c3ccc4ccnn4c3)C2)s1
H23P130,ZINCnj00001A3tZI,COCCCC(=O)NCC1CN(c2nc3ncc(C)nc3s2)C1
H20P400,ZINCkK000005oXOq,CSCC1(CCNC2=CC(C(F)F)=NC(SC)=N2)CC1
H25P110,ZINCph00000E2tus,CC[C@@H]1C[C@H]1C(=O)NC12CC(C1)N(C(=O)[C@H]1CCCN(C(C)=O)C1)C2
H20P240,ZINCku000005oXPa,C=CC(C)(CC)C(=O)N[C@@H](C)CCNC(=O)C1CCC1
H21M000,ZINCl500000hZ5Ur,C[C@@](O)(CCO)CNC(=O)C1(c2ccno2)CCOCC1
H20P370,ZINCkH000005oXOu,CC(F)(F)C1=CC=CC=C1NC(=O)NC1CC2CC1C2
H25P370,ZINCpH00000FLUZV,COCc1ccc(CN(Cc2c(Br)nnn2C)C[C@H](C)CC2CC2)o1
H25P270,ZINCpx00000d79Ad,Cc1cc(=O)n(C)nc1C(=O)OCc1coc(-c2ccccc2Cl)n1
